  Time  Potential_Energy  Kinetic_Energy  Total_Energy  Temperature  Moment of Cen
  0.11400001      -5.6206679      0.68220949      -4.9384584      0.46319485      2.81154541E-07
  0.11500000      -5.6009784      0.67046833      -4.9305100      0.45480633      2.08616257E-07
  0.11600000      -5.5830474      0.65972048      -4.9233270      0.44697890      7.30004857E-08
  0.11700001      -5.5670819      0.65010238      -4.9169798      0.43981364      2.16964182E-07
  0.11800001      -5.5532875      0.64174718      -4.9115405      0.43340158      3.18201728E-07
  0.11900000      -5.5418520      0.63471884      -4.9071331      0.42783144      4.15098327E-07
  0.12000000      -5.5327945      0.74377859      -4.7890158      0.42314589      8.42936956E-08
  0.12100001      -5.5250921      0.73892736      -4.7861648      0.49585238      1.33280039E-07
  0.12200001      -5.5197191      0.73540330      -4.7843161      0.49261823      3.38489315E-07
  0.12300000      -5.5165749      0.73316014      -4.7834148      0.49026886      3.03925248E-07
  0.12400001      -5.5155511      0.73212194      -4.7834291      0.48877344      3.73422040E-07
  0.12500000      -5.5164380      0.73217666      -4.7842612      0.48808131      2.23020166E-07
  0.12600000      -5.5190234      0.73320121      -4.7858224      0.48811778      1.97686248E-07
  0.12700000      -5.5231023      0.73506808      -4.7880344      0.48880079      3.16803039E-07
  0.12800001      -5.5284085      0.73761445      -4.7907939      0.49004540      2.73142803E-07
  0.12900001      -5.5346589      0.74068475      -4.7939739      0.49174297      5.10133589E-07
  0.13000001      -5.5416007      0.75347275      -4.7881279      0.49378982      2.40274005E-07
  0.13100001      -5.5490108      0.75716001      -4.7918506      0.50231516      5.05762159E-07
  0.13200000      -5.5565882      0.76092428      -4.7956638      0.50477332      2.32763583E-07
  0.13300000      -5.5641122      0.76464015      -4.7994719      0.50728285      4.74970847E-07
  0.13400000      -5.5715384      0.76825196      -4.8032866      0.50976008      6.69060455E-07
  0.13500001      -5.5785832      0.77161813      -4.8069649      0.51216799      5.79423386E-07
  0.13600001      -5.5850859      0.77466136      -4.8104243      0.51441211      2.40274005E-07
  0.13700001      -5.5909357      0.77731800      -4.8136177      0.51644093      2.56369276E-07
  0.13800001      -5.5960407      0.77954662      -4.8164940      0.51821202      4.67431164E-07
  0.13900001      -5.6003437      0.78131557      -4.8190279      0.51969773      1.73775902E-07
  0.14000000      -5.6038041      0.75127375      -4.8525305      0.52087706      6.07850495E-07
  0.14100000      -5.6064234      0.75211304      -4.8543105      0.50084919      1.71201307E-07
  0.14200000      -5.6082687      0.75252348      -4.8557453      0.50140870      1.63234049E-07
  0.14300001      -5.6093578      0.75251883      -4.8568392      0.50168234      1.73775902E-07
